Epoch, Iteration, Elpased_time
0,1,1.9389569759368896
0,2,1.5850262641906738
0,3,1.4597563743591309
0,4,1.5089778900146484
0,5,1.4773364067077637
0,6,1.4495024681091309
0,7,1.4412195682525635
0,8,1.6449978351593018
0,9,1.4554646015167236
0,10,1.3912370204925537
0,11,1.4544775485992432
0,12,1.4912118911743164
0,13,1.4162650108337402
0,14,1.3901896476745605
0,15,1.435990810394287
0,16,1.4673547744750977
0,17,1.6678359508514404
0,18,1.6298785209655762
0,19,1.4829647541046143
0,20,1.7235538959503174
0,21,1.537682294845581
0,22,1.4590785503387451
0,23,1.416522741317749
0,24,1.4831948280334473
0,25,1.4145772457122803
0,26,1.52740478515625
0,27,1.4519519805908203
0,28,1.4340121746063232
0,29,1.4011762142181396
0,30,1.4448976516723633
0,31,1.473525047302246
0,32,1.4403443336486816
0,33,1.4427707195281982
0,34,1.4441337585449219
0,35,1.61063814163208
0,36,1.4666202068328857
0,37,1.4650399684906006
0,38,1.4674060344696045
0,39,1.4391279220581055
0,40,1.4694135189056396
0,41,1.457665205001831
0,42,1.4193036556243896
0,43,1.442737340927124
0,44,1.6083440780639648
0,45,1.4377727508544922
0,46,1.4729127883911133
0,47,1.4685678482055664
0,48,1.4356191158294678
0,49,1.4083929061889648
0,50,1.4066212177276611
0,51,1.4112958908081055
0,52,1.469059705734253
0,53,1.5407147407531738
0,54,1.6037659645080566
0,55,1.4577856063842773
0,56,1.4431204795837402
0,57,1.446382999420166
0,58,1.473130702972412
0,59,1.4673411846160889
0,60,1.4292116165161133
0,61,1.4009888172149658
0,62,1.536242961883545
0,63,1.6436941623687744
0,64,1.6593449115753174
0,65,1.458319902420044
0,66,1.4835295677185059
0,67,1.4285070896148682
0,68,1.4065990447998047
0,69,1.4304728507995605
0,70,1.540818452835083
0,71,1.429802656173706
0,72,1.4642589092254639
0,73,1.588709831237793
0,74,1.6502580642700195
0,75,1.4907951354980469
0,76,1.6435456275939941
0,77,1.5108377933502197
0,78,1.6193432807922363
0,79,1.4616758823394775
0,80,1.393794059753418
0,81,1.4617640972137451
0,82,1.5795412063598633
0,83,1.467224359512329
0,84,1.4706382751464844
0,85,1.520761489868164
0,86,1.4246466159820557
0,87,1.420297622680664
0,88,1.430354118347168
0,89,1.3903720378875732
0,90,1.4386498928070068
0,91,1.5263128280639648
0,92,1.5035274028778076
0,93,1.6005017757415771
0,94,1.4506707191467285
0,95,1.5237696170806885
0,96,1.5752456188201904
0,97,1.4345719814300537
0,98,1.407271146774292
0,99,1.5296099185943604
0,100,1.6183555126190186
0,101,1.4473741054534912
0,102,1.4711940288543701
0,103,1.450545072555542
0,104,1.460127592086792
0,105,1.4011270999908447
0,106,1.4347586631774902
0,107,1.4422965049743652
0,108,1.429910659790039
0,109,1.4529285430908203
0,110,1.5438098907470703
0,111,1.6678237915039062
0,112,1.5130856037139893
0,113,1.511284351348877
0,114,1.4781317710876465
0,115,1.5377707481384277
0,116,1.592348337173462
0,117,1.5652310848236084
0,118,1.470215082168579
0,119,1.4983766078948975
0,120,1.4895288944244385
0,121,1.4645140171051025
0,122,1.482938528060913
0,123,1.4233214855194092
0,124,1.4323389530181885
0,125,1.4143669605255127
0,126,1.402998924255371
0,127,1.4302704334259033
0,128,1.4209768772125244
0,129,1.5111305713653564
0,130,1.4595117568969727
0,131,1.421776533126831
0,132,1.415215015411377
0,133,1.5549824237823486
0,134,1.471614122390747
0,135,1.4799776077270508
0,136,1.430199384689331
0,137,1.4443044662475586
0,138,1.4434404373168945
0,139,1.4275271892547607
0,140,1.4041035175323486
0,141,1.381974458694458
0,142,1.4255611896514893
0,143,1.4358296394348145
0,144,1.3949611186981201
0,145,1.3865222930908203
0,146,1.5188543796539307
0,147,1.4315769672393799
0,148,1.4098374843597412
0,149,1.47515869140625
0,150,1.4722583293914795
0,151,1.4248530864715576
0,152,1.4312331676483154
0,153,1.4363946914672852
0,154,1.4135549068450928
0,155,1.4128823280334473
0,156,1.4062473773956299
0,157,1.540712833404541
0,158,1.571913480758667
0,159,1.4870719909667969
0,160,1.5418875217437744
0,161,1.5760018825531006
0,162,1.4512889385223389
0,163,1.5695362091064453
0,164,1.4807381629943848
0,165,1.475186824798584
0,166,1.4149885177612305
0,167,1.3676273822784424
0,168,1.4122912883758545
0,169,1.4004809856414795
0,170,1.4131977558135986
0,171,1.4951558113098145
0,172,1.5519981384277344
0,173,1.5443639755249023
0,174,1.4439666271209717
0,175,1.3957045078277588
0,176,1.5151402950286865
0,177,1.4219610691070557
0,178,1.4734985828399658
0,179,1.4608798027038574
0,180,1.4501440525054932
0,181,1.5610697269439697
0,182,1.5722029209136963
0,183,1.7770602703094482
0,184,1.6249229907989502
0,185,1.6362526416778564
0,186,1.700758695602417
0,187,1.6045188903808594
0,188,1.6731390953063965
0,189,1.6117444038391113
0,190,1.501481294631958
0,191,1.4461462497711182
0,192,1.5535149574279785
0,193,1.509704828262329
0,194,1.5696601867675781
0,195,1.4602124691009521
0,196,0.46283817291259766
